userId,foodId,rating
1,31,4
1,32,3
1,33,3
1,34,3
1,41,5
1,42,4
1,43,5
1,44,5
1,45,5
1,51,5
1,52,5
1,53,5
1,54,5
1,55,4
1,1,5
1,2,4
1,3,3
1,4,4
1,5,3
1,6,3
1,7,3
1,8,1
1,9,4
1,10,3
1,11,3
1,12,1
1,13,4
1,14,4
1,15,5
2,31,4
2,32,3
2,33,3
2,34,3
2,41,5
2,42,4
2,43,5
2,44,5
2,45,5
2,51,5
2,52,5
2,53,5
2,54,5
2,55,4
2,1,5
2,2,4
2,3,3
2,4,4
2,5,3
2,6,3
2,7,4
2,8,2
2,9,4
2,10,4
2,11,3
2,12,1
2,13,4
2,14,4
2,15,5
3,31,3
3,32,3
3,33,4
3,34,4
3,41,4
3,42,5
3,43,5
3,44,5
3,45,5
3,51,4
3,52,4
3,53,4
3,54,4
3,55,5
3,1,5
3,2,5
3,3,4
3,4,4
3,5,5
3,6,4
3,7,4
3,8,3
3,9,4
3,10,3
3,11,4
3,12,5
3,13,3
3,14,4
3,15,5
4,31,3
4,32,4
4,33,3
4,34,4
4,41,3
4,42,1
4,43,3
4,44,2
4,45,3
4,51,4
4,52,4
4,53,4
4,54,5
4,55,5
4,1,2
4,2,3
4,3,3
4,4,4
4,5,4
4,6,3
4,7,3
4,8,4
4,9,4
4,10,3
4,11,4
4,12,3
4,13,3
4,14,3
4,15,3
5,31,4
5,32,4
5,33,4
5,34,3
5,41,4
5,42,5
5,43,5
5,44,5
5,45,5
5,51,5
5,52,3
5,53,4
5,54,4
5,55,4
5,1,4
5,2,5
5,3,5
5,4,5
5,5,5
5,6,5
5,7,5
5,8,5
5,9,5
5,10,5
5,11,5
5,12,5
5,13,5
5,14,4
5,15,4
6,31,5
6,32,2
6,33,3
6,34,3
6,41,2
6,42,1
6,43,3
6,44,3
6,45,5
6,51,5
6,52,5
6,53,5
6,54,5
6,55,3
6,1,5
6,2,5
6,3,4
6,4,2
6,5,3
6,6,3
6,7,5
6,8,1
6,9,5
6,10,5
6,11,4
6,12,5
6,13,5
6,14,4
6,15,5
7,31,4
7,32,5
7,33,5
7,34,5
7,41,3
7,42,5
7,43,4
7,44,2
7,45,5
7,51,4
7,52,3
7,53,3
7,54,3
7,55,4
7,1,3
7,2,4
7,3,5
7,4,5
7,5,5
7,6,3
7,7,5
7,8,2
7,9,4
7,10,4
7,11,3
7,12,3
7,13,3
7,14,3
7,15,3
8,31,4
8,32,4
8,33,5
8,34,4
8,41,4
8,42,4
8,43,4
8,44,5
8,45,4
8,51,5
8,52,3
8,53,3
8,54,3
8,55,3
8,1,3
8,2,3
8,3,4
8,4,3
8,5,3
8,6,3
8,7,3
8,8,4
8,9,4
8,10,4
8,11,4
8,12,4
8,13,3
8,14,5
8,15,5
9,31,5
9,32,3
9,33,5
9,34,5
9,41,5
9,42,4
9,43,4
9,44,5
9,45,5
9,51,5
9,52,5
9,53,5
9,54,5
9,55,5
9,1,5
9,2,5
9,3,5
9,4,5
9,5,3
9,6,5
9,7,5
9,8,4
9,9,5
9,10,5
9,11,5
9,12,5
9,13,5
9,14,5
9,15,5
10,31,4
10,32,4
10,33,4
10,34,3
10,41,3
10,42,4
10,43,5
10,44,3
10,45,4
10,51,5
10,52,5
10,53,4
10,54,5
10,55,5
10,1,4
10,2,4
10,3,5
10,4,4
10,5,4
10,6,5
10,7,5
10,8,4
10,9,5
10,10,5
10,11,5
10,12,5
10,13,4
10,14,5
10,15,4
11,31,4
11,32,3
11,33,4
11,34,4
11,41,4
11,42,4
11,43,3
11,44,4
11,45,4
11,51,4
11,52,4
11,53,4
11,54,4
11,55,4
11,1,4
11,2,4
11,3,5
11,4,5
11,5,5
11,6,5
11,7,5
11,8,5
11,9,5
11,10,5
11,11,5
11,12,5
11,13,5
11,14,5
11,15,5
12,31,5
12,32,5
12,33,5
12,34,4
12,41,5
12,42,5
12,43,5
12,44,5
12,45,4
12,51,5
12,52,4
12,53,5
12,54,5
12,55,5
12,1,5
12,2,5
12,3,5
12,4,5
12,5,5
12,6,5
12,7,5
12,8,5
12,9,5
12,10,5
12,11,5
12,12,5
12,13,5
12,14,5
12,15,5
13,31,5
13,32,5
13,33,5
13,34,3
13,41,5
13,42,5
13,43,5
13,44,5
13,45,5
13,51,5
13,52,5
13,53,5
13,54,5
13,55,5
13,1,5
13,2,5
13,3,5
13,4,5
13,5,5
13,6,5
13,7,5
13,8,5
13,9,5
13,10,5
13,11,5
13,12,5
13,13,5
13,14,5
13,15,5
14,31,4
14,32,4
14,33,4
14,34,3
14,41,4
14,42,4
14,43,5
14,44,4
14,45,4
14,51,5
14,52,4
14,53,3
14,54,4
14,55,4
14,1,3
14,2,4
14,3,3
14,4,3
14,5,4
14,6,3
14,7,4
14,8,3
14,9,3
14,10,4
14,11,3
14,12,3
14,13,2
14,14,3
14,15,3
15,31,4
15,32,4
15,33,5
15,34,5
15,41,4
15,42,5
15,43,5
15,44,4
15,45,4
15,51,5
15,52,4
15,53,4
15,54,4
15,55,5
15,1,3
15,2,4
15,3,4
15,4,5
15,5,5
15,6,5
15,7,2
15,8,3
15,9,5
15,10,5
15,11,5
15,12,5
15,13,5
15,14,4
15,15,4
16,31,5
16,32,5
16,33,5
16,34,3
16,41,5
16,42,5
16,43,5
16,44,5
16,45,5
16,51,5
16,52,5
16,53,5
16,54,5
16,55,5
16,1,5
16,2,5
16,3,4
16,4,4
16,5,4
16,6,5
16,7,4
16,8,4
16,9,5
16,10,5
16,11,5
16,12,3
16,13,5
16,14,5
16,15,5
17,31,4
17,32,2
17,33,5
17,34,2
17,41,4
17,42,1
17,43,3
17,44,3
17,45,4
17,51,5
17,52,5
17,53,4
17,54,3
17,55,4
17,1,3
17,2,3
17,3,4
17,4,4
17,5,5
17,6,3
17,7,4
17,8,3
17,9,5
17,10,3
17,11,5
17,12,4
17,13,3
17,14,4
17,15,3
18,31,4
18,32,3
18,33,4
18,34,1
18,41,5
18,42,4
18,43,4
18,44,5
18,45,5
18,51,4
18,52,4
18,53,4
18,54,4
18,55,4
18,1,3
18,2,3
18,3,3
18,4,4
18,5,4
18,6,5
18,7,4
18,8,3
18,9,4
18,10,4
18,11,5
18,12,3
18,13,5
18,14,5
18,15,5
19,31,5
19,32,5
19,33,5
19,34,5
19,41,3
19,42,5
19,43,5
